i,j,k
0,4,269
0,5,54
0,13,5
0,14,319
0,15,26
0,16,2
0,17,16
0,23,221
0,30,45
0,37,1
0,38,24
0,44,1
0,46,30
0,47,2
0,48,21
0,51,22
0,52,137
0,53,8
0,55,1
0,61,283
0,62,8
0,63,352
0,65,22
0,66,1
0,68,3
0,69,124
0,72,1
0,75,38
0,76,170
0,77,110
0,78,9
0,81,2
0,84,2
0,89,10
0,93,18
0,94,16
0,95,1
0,103,1
0,104,27
0,112,1
0,135,1
0,140,1
0,141,1
0,154,2
0,158,7
0,163,3
1,10,1
1,18,617
1,19,11
1,20,16
1,33,3
1,35,1
1,36,118
1,37,1
1,40,1
1,41,416
1,43,34
1,47,9
1,50,1113
1,55,1
1,56,1013
1,57,56
1,58,512
1,59,60
1,60,216
1,64,5
1,65,2
1,71,3
1,72,7
1,75,4
1,77,3
1,78,3
1,79,2
1,144,1
1,146,1
1,153,1
2,6,2
2,7,51
2,8,1
2,11,2
2,15,1105
2,16,5
2,25,2
2,26,41
2,27,206
2,28,353
2,29,137
2,40,1
2,44,1216
2,45,341
2,48,5
2,51,3
2,53,1
2,55,4
2,65,21
2,66,254
2,67,4
2,68,36
2,72,1
2,74,8
2,75,65
2,76,38
2,77,27
2,78,27
2,79,17
2,82,4
2,83,8
2,84,3
2,85,2
2,86,2
2,91,6
2,96,7
2,97,3
2,98,1
2,100,1
2,103,1
2,104,5
2,115,7
2,116,2
2,117,3
2,118,3
2,129,3
2,133,14
2,134,32
2,147,1
2,153,1
2,154,17
2,155,7
2,156,1
2,159,5
2,163,10
3,11,12
3,13,1
3,14,1
3,15,13
3,16,1
3,17,5
3,24,2
3,25,59
3,27,148
3,28,258
3,32,76
3,33,67
3,35,10
3,40,6
3,44,1000
3,45,1
3,47,1
3,48,63
3,51,1
3,55,9
3,58,1
3,65,1
3,66,40
3,67,442
3,68,6
3,70,1
3,71,1
3,72,10
3,73,11
3,74,2
3,75,17
3,76,8
3,77,15
3,78,5
3,79,2
3,104,1
3,117,1
3,134,1
3,163,2
4,5,121
4,6,5
4,7,6
4,12,1
4,13,7
4,14,476
4,15,469
4,16,2
4,17,15
4,23,48
4,30,13
4,38,14
4,40,1
4,44,1
4,45,1
4,46,14
4,47,3
4,48,29
4,51,11
4,52,163
4,53,14
4,61,46
4,63,23
4,65,20
4,69,158
4,70,3
4,72,1
4,74,5
4,75,21
4,76,65
4,77,71
4,78,4
4,81,1
4,83,6
4,84,2
4,85,1
4,89,22
4,93,64
4,94,88
4,103,16
4,104,71
4,112,4
4,119,3
4,127,1
4,140,2
4,141,11
4,142,3
4,150,1
4,154,33
4,158,8
4,163,1
5,6,1112
5,7,265
5,8,2
5,13,3
5,14,224
5,15,1057
5,16,1
5,17,4
5,23,7
5,28,1
5,29,6
5,30,24
5,31,139
5,45,33
5,48,17
5,51,15
5,52,91
5,53,90
5,61,1
5,62,9
5,63,26
5,65,313
5,66,1
5,69,589
5,70,21
5,74,1
5,75,11
5,76,137
5,77,38
5,78,3
5,81,95
5,82,11
5,83,25
5,84,11
5,89,6
5,92,1
5,93,56
5,94,264
5,95,10
5,96,10
5,97,2
5,102,3
5,103,30
5,104,154
5,112,4
5,119,1
5,135,1
5,136,1
5,137,1
5,140,9
5,141,25
5,142,7
5,150,7
5,151,1
5,154,73
5,158,4
5,163,2
6,7,1185
6,8,1
6,9,1
6,11,16
6,13,2
6,14,79
6,15,1068
6,16,1
6,17,5
6,23,1
6,25,1
6,26,7
6,28,3
6,29,11
6,31,1
6,39,1
6,44,5
6,45,121
6,48,34
6,51,33
6,52,32
6,53,600
6,55,1
6,57,1
6,62,3
6,63,1
6,64,1
6,65,98
6,66,3
6,67,30
6,68,6
6,69,4
6,70,45
6,72,3
6,74,5
6,75,55
6,76,94
6,77,64
6,78,14
6,79,2
6,81,20
6,82,18
6,83,23
6,84,12
6,85,8
6,91,1
6,92,1
6,93,5
6,94,46
6,95,195
6,96,27
6,97,5
6,100,12
6,102,4
6,103,31
6,104,284
6,117,2
6,128,2
6,134,14
6,137,7
6,140,22
6,141,13
6,142,15
6,144,1
6,153,2
6,154,8
6,155,2
6,156,17
6,157,2
6,158,1
6,159,3
6,163,1
7,8,262
7,9,3
7,11,6
7,14,21
7,15,1095
7,16,3
7,17,3
7,24,1
7,26,22
7,28,29
7,29,56
7,31,2
7,35,1
7,40,1
7,44,145
7,45,1854
7,48,11
7,51,4
7,52,7
7,53,108
7,55,18
7,62,1
7,63,1
7,64,3
7,65,409
7,66,21
7,67,18
7,68,26
7,69,5
7,70,232
7,72,1
7,74,4
7,75,80
7,76,113
7,77,40
7,78,23
7,79,9
7,80,2
7,81,27
7,82,24
7,83,15
7,84,13
7,85,23
7,86,3
7,91,44
7,92,1
7,93,2
7,94,6
7,95,30
7,96,202
7,97,34
7,100,3
7,103,10
7,104,234
7,115,10
7,116,1
7,117,37
7,118,6
7,133,35
7,134,126
7,137,1
7,140,2
7,141,1
7,142,4
7,153,2
7,154,25
7,155,7
7,156,27
7,157,5
7,158,1
7,159,8
7,161,1
7,163,9
8,9,272
8,15,4
8,26,5
8,27,1
8,29,91
8,33,1
8,40,1
8,45,293
8,53,1
8,64,41
8,65,363
8,66,2
8,70,893
8,72,3
8,75,1
8,76,2
8,77,1
8,78,1
8,82,2
8,104,1
8,105,1
8,115,2
8,118,1
8,129,1
8,134,4
8,136,1
8,144,2
8,154,1
8,155,1
8,159,8
9,21,40
9,22,81
9,29,35
9,34,1
9,43,232
9,45,7
9,64,66
9,65,245
9,70,74
9,74,1
9,75,1
9,78,1
9,79,165
9,82,1
9,85,1
9,115,1
9,118,2
9,124,1
9,129,1
9,144,1
9,153,1
10,17,1
10,18,4
10,19,1297
10,21,40
10,29,174
10,34,1
10,35,2
10,41,2
10,43,1972
10,47,3
10,50,2
10,55,1
10,56,10
10,57,300
10,58,5
10,60,2
10,64,2007
10,65,40
10,72,5
10,73,1
10,75,4
10,77,4
10,78,4
10,82,1
10,84,1
10,99,1
10,113,2
10,118,1
10,144,3
10,146,2
10,153,9
10,154,1
10,161,2
11,13,45
11,14,154
11,15,71
11,17,2
11,24,4
11,25,13
11,26,3
11,28,44
11,29,2
11,32,55
11,33,82
11,34,90
11,35,7
11,36,1
11,37,1
11,39,401
11,40,5
11,44,40
11,45,14
11,47,7
11,48,16
11,49,1
11,51,1153
11,52,32
11,53,59
11,54,5
11,55,14
11,56,1
11,57,1
11,59,4
11,65,4
11,66,19
11,67,1617
11,68,16
11,70,1
11,71,13
11,72,55
11,74,1
11,75,16
11,76,63
11,77,18
11,78,3
11,100,1
11,104,2
11,140,1
12,23,7
12,28,1
12,38,6
12,46,14
12,51,1
12,61,4
12,63,1
12,76,1
13,14,244
13,15,36
13,17,7
13,23,63
13,25,2
13,26,2
13,28,5
13,29,1
13,35,4
13,37,1
13,38,387
13,39,9
13,40,1
13,44,7
13,46,1
13,47,2
13,48,28
13,51,1737
13,52,42
13,53,30
13,55,3
13,58,1
13,59,2
13,61,215
13,66,3
13,67,12
13,68,1
13,71,5
13,72,11
13,73,2
13,75,16
13,76,51
13,77,31
13,78,4
13,79,1
13,89,1
13,93,2
13,94,2
13,104,6
13,154,1
13,163,2
14,15,1328
14,16,8
14,17,27
14,18,2
14,23,144
14,24,60
14,25,31
14,26,50
14,27,22
14,28,397
14,29,7
14,30,1
14,35,7
14,36,7
